model,gap_hours,accuracy,accuracy_clean,accuracy_degradation_pct
logistic_regression,1,0.68,0.85,16.999999999999993
random_forest,1,0.51,0.835,32.49999999999999
gradient_boosting,1,0.415,0.825,41.0
xgboost,1,0.45,0.815,36.49999999999999
lstm,1,0.77,0.77,0.0
tcn,1,0.83,0.835,0.5000000000000004
logistic_regression,2,0.68,0.85,16.999999999999993
random_forest,2,0.51,0.835,32.49999999999999
gradient_boosting,2,0.415,0.825,41.0
xgboost,2,0.45,0.815,36.49999999999999
lstm,2,0.77,0.77,0.0
tcn,2,0.835,0.835,0.0
logistic_regression,4,0.68,0.85,16.999999999999993
random_forest,4,0.51,0.835,32.49999999999999
gradient_boosting,4,0.415,0.825,41.0
xgboost,4,0.45,0.815,36.49999999999999
lstm,4,0.77,0.77,0.0
tcn,4,0.835,0.835,0.0
