model,stratum,n,nnt,nnt_ci_lo,nnt_ci_hi,arr_pct,control_event_rate,treatment_event_rate
logistic_regression,overall,200,1.4526315789473685,1.2752880148854573,1.6959669162178685,68.84057971014492,0.08333333333333333,0.7717391304347826
logistic_regression,disease:sepsis,79,1.434782608695652,1.1784549689440995,1.8823529411764706,69.6969696969697,0.0,0.696969696969697
logistic_regression,disease:ards,74,1.2913907284768213,1.098169717138103,1.6324582338902145,77.43589743589743,0.2,0.9743589743589743
logistic_regression,disease:cardiac,47,2.3478260869565215,1.5083798882681565,5.3281499556344265,42.592592592592595,0.07407407407407407,0.5
logistic_regression,risk:high,80,1.6060606060606062,1.3414634146341462,2.074222222222222,62.264150943396224,0.0,0.6226415094339622
logistic_regression,risk:medium,32,1.4830508474576272,1.0,3.4296428571428565,67.42857142857143,0.2857142857142857,0.96
logistic_regression,risk:low,88,1.1044776119402986,1.0399868421052632,1.2069660734149055,90.54054054054053,0.0945945945945946,1.0
random_forest,overall,200,1.5622641509433963,1.361385142686054,1.8542264901599195,64.00966183574879,0.05434782608695652,0.6944444444444444
random_forest,disease:sepsis,79,1.434782608695652,1.1923076923076923,1.8751838235294116,69.6969696969697,0.0,0.696969696969697
random_forest,disease:ards,74,1.65086887835703,1.2666666666666666,2.6556627889178013,60.57416267942584,0.15789473684210525,0.7636363636363637
random_forest,disease:cardiac,47,2.3478260869565215,1.4793938902844177,5.44869165487977,42.592592592592595,0.07407407407407407,0.5
random_forest,risk:high,80,1.6060606060606062,1.3414634146341462,2.0370726495726497,62.264150943396224,0.0,0.6226415094339622
random_forest,risk:medium,32,1.2580645161290323,1.0,2.333333333333333,79.48717948717949,0.16666666666666666,0.9615384615384616
random_forest,risk:low,88,1.9289740698985347,1.4196670223197831,3.1335066464803343,51.84102863822325,0.06779661016949153,0.5862068965517241
gradient_boosting,overall,200,1.5407407407407407,1.3376353374038956,1.831993415108869,64.90384615384616,0.0625,0.7115384615384616
gradient_boosting,disease:sepsis,79,1.434782608695652,1.1851851851851851,1.8825163398692808,69.6969696969697,0.0,0.696969696969697
gradient_boosting,disease:ards,74,1.539419087136929,1.2258792778930305,2.172765080283524,64.95956873315365,0.14285714285714285,0.7924528301886793
gradient_boosting,disease:cardiac,47,2.5217391304347827,1.4654640813731723,7.583333333333335,39.6551724137931,0.10344827586206896,0.5
gradient_boosting,risk:high,80,1.686431014823261,1.3720268087855296,2.285863095238095,59.29682217714672,0.034482758620689655,0.6274509803921569
gradient_boosting,risk:medium,32,1.2580645161290323,1.0,2.4117469879518074,79.48717948717949,0.16666666666666666,0.9615384615384616
gradient_boosting,risk:low,88,1.7728740581270181,1.3073377048051769,2.7113786222868734,56.405585913782645,0.06557377049180328,0.6296296296296297
xgboost,overall,200,1.5716981132075472,1.3658879335073777,1.9045506672226853,63.62545018007203,0.08823529411764706,0.7244897959183674
xgboost,disease:sepsis,79,1.572938689217759,1.2307692307692308,2.187917282423798,63.575268817204304,0.041666666666666664,0.6774193548387096
xgboost,disease:ards,74,1.6225165562913906,1.255218193677713,2.3136639676113364,61.632653061224495,0.2,0.8163265306122449
xgboost,disease:cardiac,47,2.0551181102362204,1.3672008286619548,4.044444444444445,48.65900383141762,0.06896551724137931,0.5555555555555556
xgboost,risk:high,80,1.7601390498261875,1.3920053713415665,2.511048601106983,56.81369321922318,0.06451612903225806,0.6326530612244898
xgboost,risk:medium,32,1.4830508474576272,1.0,3.3461538461538454,67.42857142857143,0.2857142857142857,0.96
xgboost,risk:low,88,1.6991150442477878,1.2874248784545315,2.5865118290600466,58.854166666666664,0.078125,0.6666666666666666
lstm,overall,200,2.475,2.117021276595745,2.956671189507011,40.4040404040404,0.0,0.40404040404040403
lstm,disease:sepsis,79,3.347826086956522,2.4838709677419355,4.839062499999997,29.87012987012987,0.0,0.2987012987012987
lstm,disease:ards,74,inf,,,0.0,0.6081081081081081,0.6081081081081081
lstm,disease:cardiac,47,inf,,,0.0,0.2553191489361702,0.2553191489361702
lstm,risk:high,80,2.393939393939394,1.9268292682926829,3.25,41.77215189873418,0.0,0.4177215189873418
lstm,risk:medium,32,inf,,,0.0,0.8125,0.8125
lstm,risk:low,88,4.142857142857142,3.107142857142857,6.615384615384616,24.137931034482758,0.0,0.2413793103448276
tcn,overall,200,1.4963855421686745,1.30266443452691,1.7622139292999104,66.82769726247987,0.09259259259259259,0.7608695652173914
tcn,disease:sepsis,79,1.434782608695652,1.1784549689440995,1.916826923076923,69.6969696969697,0.0,0.696969696969697
tcn,disease:ards,74,1.346938775510204,1.13031328320802,1.7128039513677813,74.24242424242425,0.16666666666666666,0.9090909090909091
tcn,disease:cardiac,47,3.221476510067114,1.6995343752530567,29.561249999999923,31.041666666666668,0.15625,0.4666666666666667
tcn,risk:high,80,1.8823529411764706,1.4244038748137107,2.7525906488549614,53.125,0.09375,0.625
tcn,risk:medium,32,1.2580645161290323,1.0,2.333333333333333,79.48717948717949,0.16666666666666666,0.9615384615384616
tcn,risk:low,88,1.3375796178343948,1.0888545534492866,1.8544042401898269,74.76190476190476,0.08571428571428572,0.8333333333333334
