model,noise_dist,noise_scale,auroc,accuracy,auroc_clean,auroc_degradation
logistic_regression,gaussian,1.0,0.9120833333333334,0.85,0.9159375,0.003854166666666603
random_forest,gaussian,1.0,0.8748437499999999,0.81,0.9176041666666667,0.042760416666666745
gradient_boosting,gaussian,1.0,0.8244791666666667,0.69,0.9167708333333334,0.09229166666666677
xgboost,gaussian,1.0,0.8446875,0.765,0.9046875,0.05999999999999994
lstm,gaussian,1.0,0.8720833333333332,0.765,0.8732291666666666,0.0011458333333334014
tcn,gaussian,1.0,0.9246354166666668,0.83,0.9202083333333334,-0.004427083333333415
logistic_regression,gaussian,2.0,0.8871875,0.855,0.9159375,0.028749999999999942
random_forest,gaussian,2.0,0.8522916666666667,0.695,0.9176041666666667,0.0653125
gradient_boosting,gaussian,2.0,0.7866145833333335,0.635,0.9167708333333334,0.13015624999999997
xgboost,gaussian,2.0,0.8265624999999999,0.695,0.9046875,0.07812500000000011
lstm,gaussian,2.0,0.8768750000000001,0.775,0.8732291666666666,-0.003645833333333459
tcn,gaussian,2.0,0.9092708333333334,0.845,0.9202083333333334,0.010937500000000044
logistic_regression,gaussian,3.0,0.9013541666666667,0.855,0.9159375,0.014583333333333282
random_forest,gaussian,3.0,0.8638541666666667,0.725,0.9176041666666667,0.053749999999999964
gradient_boosting,gaussian,3.0,0.8054166666666667,0.605,0.9167708333333334,0.11135416666666675
xgboost,gaussian,3.0,0.8088541666666667,0.67,0.9046875,0.09583333333333333
lstm,gaussian,3.0,0.88125,0.765,0.8732291666666666,-0.008020833333333366
tcn,gaussian,3.0,0.9054166666666666,0.82,0.9202083333333334,0.014791666666666758
logistic_regression,t3,1.0,0.910625,0.85,0.9159375,0.005312499999999942
random_forest,t3,1.0,0.8939583333333334,0.82,0.9176041666666667,0.023645833333333255
gradient_boosting,t3,1.0,0.8638020833333334,0.73,0.9167708333333334,0.05296875000000001
xgboost,t3,1.0,0.8511458333333333,0.735,0.9046875,0.05354166666666671
lstm,t3,1.0,0.8709375,0.77,0.8732291666666666,0.002291666666666581
tcn,t3,1.0,0.9177083333333333,0.845,0.9202083333333334,0.0025000000000000577
logistic_regression,t3,2.0,0.9149999999999999,0.855,0.9159375,0.0009375000000000355
random_forest,t3,2.0,0.8878125,0.785,0.9176041666666667,0.02979166666666666
gradient_boosting,t3,2.0,0.855,0.7,0.9167708333333334,0.06177083333333344
xgboost,t3,2.0,0.8393750000000001,0.73,0.9046875,0.06531249999999988
lstm,t3,2.0,0.8717708333333334,0.77,0.8732291666666666,0.0014583333333332282
tcn,t3,2.0,0.9173958333333334,0.84,0.9202083333333334,0.0028124999999999956
logistic_regression,t3,3.0,0.9004166666666665,0.855,0.9159375,0.015520833333333428
random_forest,t3,3.0,0.8650520833333333,0.75,0.9176041666666667,0.05255208333333339
gradient_boosting,t3,3.0,0.8153125,0.675,0.9167708333333334,0.10145833333333343
xgboost,t3,3.0,0.8473958333333333,0.745,0.9046875,0.05729166666666663
lstm,t3,3.0,0.8771875,0.775,0.8732291666666666,-0.003958333333333397
tcn,t3,3.0,0.9098437500000001,0.815,0.9202083333333334,0.010364583333333344
